Customer ID,Current Credit Balance,Monthly Debt,Years in current job,Years of Credit History,Number of Open Accounts,Maximum Open Credit,payhis,amtowed,lenofcrhis,newcred,Score,FICO Score
cfae6856-cc51-4a3b-9bf0-c353b41693b3,1306288,39432.79,10,25.9,9,1624656,290.22,246,137.2434222,73.98631574,759,Good
59d760ba-c966-44e0-89b0-3ecf43a07d82,429248,34561.76,9,13.7,13,804254,287.62,207,95.22598944,75.61335193,686,Good
95fb2760-98f2-4304-8042-d7efffaf1a7c,174097,17449.79,7,11.6,13,255838,280.59,125,136.2191958,75.61335193,656,Good
bc7ec99c-1510-435b-95fa-41d3cae14594,272346,47118.86,5,12.9,15,804496,281.73,148,135.7236681,76.13741602,676,Good
fe1a103d-e2f3-4e76-89ff-427746d06ef9,98724,23970.97,4,17.4,13,230934,283.36,134,137.7339025,75.61335193,668,Good
12e5ef07-71c7-4751-8fd5-2a970245f217,267026,26060.4,1,15,16,634876,256.93,173,130.7292232,76.35530868,665,Good
97a38811-605d-4dc8-bc79-875442a5be9c,348631,24131.33,7,17.8,13,589314,279.94,134,136.2345577,75.61335193,663,Good
9980fb51-8717-4da1-9210-c719d5dab7bf,294842,16482.69,8,20.8,14,411818,285.21,163,114.2386572,75.89194809,668,Good
9606e990-2ab6-4e5d-ba59-a4cf61254b48,99883,14409.98,2,9.8,9,142780,258.32,120,131.7109861,73.98631574,624,Good
6f73e1f6-21d7-46e8-91c9-77ae1efc9a78,598956,41846.17,3,15.9,10,723184,277.48,154,135.7311465,74.49559327,675,Good
2726c11e-78f8-4766-8bf3-e637721787cb,37563,25885.79,10,16.1,17,154748,282.86,120,92.23154422,76.55000885,612,Good
fae69cc0-4e5c-44d3-88dd-c642c987fdfe,55461,10845.77,2,8.5,10,88440,262.7,120,137.7028197,74.49559327,635,Good
9d2300b0-7c70-4899-ad41-38a56d226e28,282359,22275.03,2,12.7,25,1197570,267.3,240,137.223041,77.58378623,736,Good
baadb171-9f76-4106-a6ce-5a07c5debc99,66614,17485.32,3,10.5,27,379896,276.07,197,111.7145225,77.75229229,686,Good
d1e5c0df-3c5f-4f30-bbbc-0b77fb599ddf,277875,14004.14,10,20.2,14,531806,284.68,197,135.2379361,75.89194809,716,Good
f52f9fe2-cf92-46fd-af70-d71f214e5601,310802,42265.5,10,16.1,16,408958,286.3,122,138.2315442,76.35530868,663,Good
7b993f39-19f0-4aba-a9f2-7815ebd10bcd,293322,30036.91,10,27.2,35,959420,290.82,238,130.744348,78.24268892,752,Good
23810e06-c531-4983-a0d0-fefac40b6b5a,414884,18575.73,10,17.5,11,524458,281.96,142,114.2340692,74.92603791,648,Good
25ec1364-f5a1-4d05-9c5a-59dc5f3e95ac,167694,15737.7,10,15.4,13,324148,283.17,132,104.7301063,75.61335193,633,Good
7f09d6cd-57fe-4001-a3e6-1be5aae936f7,181526,29661.66,10,18.2,7,268114,288.77,124,135.7351837,72.62770071,660,Good
7200ca92-e25e-4266-8301-4924d6c65453,971546,54440.89,8,17,37,1717474,289.42,247,129.733216,78.33360344,756,Good
2a3b64d5-8597-4037-81f3-679807d2f2d4,1078706,62623.24,5,15.8,25,2222484,284.58,246,138.2309439,77.58378623,758,Good
d5b815d4-0a16-441f-b165-113bb1a260ed,244055,30568.15,1,21.1,5,291038,260.27,125,123.7390021,70.50611122,619,Good
257a7be2-fbb1-4c93-9856-35417f322f2e,184718,22529.82,10,11.1,26,357060,279.55,122,114.2171895,77.67107916,633,Good
55268932-4b19-4510-9e02-4593b28ec0be,840940,23449.42,4,26.7,28,1617484,276.54,240,136.2440027,77.82803864,744,Good
ce91eeda-6789-4e60-a79a-c7ff8f005a7b,547979,69181.28,10,23.9,12,739508,293.85,194,133.2417989,75.29448983,720,Good
4c827ab1-5689-4e1c-a621-3b1d88f6aa15,39064,15790.14,10,13.1,6,123288,280.03,120,122.2242756,71.69607095,634,Good
7f7cc351-e014-4edc-b50a-973bde64315e,608019,71419.86,1,12.4,17,812966,259.88,148,138.2220616,76.55000885,657,Good
ba21abb3-fff7-4c6a-938c-948494c31e84,318003,27165.06,5,16.5,6,368588,282.43,130,123.7323101,71.69607095,646,Good
6ec2908f-f903-4b02-a351-b21b2385f072,381995,21743.79,2,17.3,9,452738,264.34,126,119.2337339,73.98631574,622,Good
dfdf0e8f-ec99-41d7-8188-008a2f63bd22,335388,51382.65,10,15,17,524106,287.99,126,99.72922322,76.55000885,629,Good
714e5d1a-a389-4f60-840b-81e4532575ad,182115,77884.23,10,30.4,10,224818,295.92,126,123.7462862,74.49559327,659,Good
7f014ab7-72bf-455a-8aff-6ea9784979c6,47861,29911.7,10,17.7,6,75108,288.47,120,126.7343967,71.69607095,647,Good
5398dd26-da6a-4337-9538-4925acd66eb6,364895,19926.25,10,17.5,7,447568,277,123,132.2340692,72.62770071,644,Good
c7810885-42f4-4f2a-a565-3f6916870b02,28367,7102.01,6,6.8,7,71720,274.28,121,123.6872254,72.62770071,632,Good
297ea649-65e5-44be-b033-dc19acccaeff,5985,11150.15,10,13.5,6,141240,278.34,121,95.22543546,71.69607095,605,Good
77a58d55-cd6a-44da-94b3-52ccfde85355,225131,16339.05,7,20.9,31,333762,289.1,216,135.7387733,78.02748557,738,Good
af76693f-a372-454f-b9a9-bf9a8912cec5,35625,12548.36,5,16,5,200222,280.82,130,133.7313466,70.50611122,653,Good
b38ae79c-751e-4239-874f-3bc60b10d6bb,265943,22556.42,6,25.3,9,395802,284.3,137,137.7429625,73.98631574,669,Good
59a23e6e-4ffa-4bbd-b133-c3531594a042,96425,9244.45,6,20.9,8,182138,270.77,121,137.2387733,73.3748061,642,Good
6f7391f5-149d-4fbc-9563-f72cff18ac59,174610,28115.25,10,34,9,213510,289.27,121,130.7480269,73.98631574,655,Good
6f284e7a-69a8-4af2-9f9c-7ff11b770fc5,616702,42897.82,10,18.5,11,1024496,288.25,189,130.7356351,74.92603791,707,Good
045fc7f3-b368-4359-9e3c-f045ef140925,383648,55521.04,10,28.6,11,479204,294.24,163,133.7452499,74.92603791,697,Good
b23048af-3c40-443c-b8ac-4b9568d5a8f7,136857,19536.37,6,9.6,28,319506,279.5,131,127.709878,77.82803864,654,Good
d82393f3-39fc-4e8f-b70e-c511d5bc129e,527820,30398.29,5,16.7,15,837210,281.7,188,135.2326791,76.13741602,706,Good
ee34e393-1bd8-4a24-914a-2d9d7d830146,329061,12224.41,10,15,12,382162,280.71,147,137.7292232,75.29448983,675,Good
c0d2c80f-38a2-4c4d-895c-df69f32c6f29,175009,4564.37,10,9.6,6,224400,249.82,121,137.709878,71.69607095,620,Good
b5a83a28-5d84-4abf-b831-75cf2fd9d540,103474,12208.26,5,8.8,28,143660,277.25,123,138.2049255,77.82803864,655,Good
43261414-f540-465b-a5a5-79ba845853f9,166801,23519.72,7,12.9,6,456566,276.15,123,136.7236681,71.69607095,647,Good
0974b7f5-19ae-4f01-ac21-4b5589aee4bf,102771,16232.08,9,16.7,7,148192,282.26,120,117.7326791,72.62770071,633,Good
dd32c1bf-223a-44d7-89a5-d97a21ab6ca1,347073,18232.97,10,16.6,13,533698,282.21,148,107.2324957,75.61335193,647,Good
a6e78a1b-dfc7-4870-9829-bc69017e9e80,706629,70084.73,10,19.1,9,1128556,292.57,226,123.7364947,73.98631574,732,Good
b4dc7c7f-1503-42e8-8ae8-e6d6954c3fc2,254505,52725,4,9.6,17,420376,278.37,122,129.709878,76.55000885,647,Good
d0d8e390-f6a1-4cd0-8d54-19c73e935b78,2194310,70960.82,10,28,16,3075996,292.08,252,128.2448745,76.35530868,760,Good
6d5717c1-3a01-4268-804c-bcc4a30dd846,64657,3868.97,10,18.1,14,193952,264.93,126,91.23502981,75.89194809,597,Good
90415e1c-01e5-47af-9d01-2f75db21557e,244017,20997.47,10,17,12,311850,285.19,126,137.233216,75.29448983,663,Good
c8a111ea-10ab-4c0b-9aed-3732eea4de8d,42807,11835.29,10,15.4,7,59356,291.85,125,117.7301063,72.62770071,646,Good
29580540-fee7-4f10-b75a-6568af8c1473,263644,56632.35,8,16.5,13,463936,287.76,124,107.2323101,75.61335193,634,Good
ca74d6d9-9f0d-4ac3-a238-e77a9af9fd81,1502520,28077.63,9,32.2,13,1933052,289.36,253,127.7472057,75.61335193,757,Good
9de7db9a-2acc-48b9-9ba4-1cd0cfb5e47d,474392,10678.76,9,31.2,10,698830,285.67,245,128.2467081,74.49559327,746,Good
9769387a-ba33-4084-a5b8-39fd1fa97b63,75810,13769.49,8,16,4,178772,273.11,120,128.2313466,68.94427191,630,Good
8bb9688f-1a36-439b-aba4-4eff90d41396,86925,3396.25,1,7.8,6,103752,245.93,138,130.1972525,71.69607095,622,Good
6568002a-2de8-4df5-9d51-9433f231da2e,813637,39236.33,10,22,18,1146112,288.05,203,119.2399798,76.72502062,708,Good
bfccd8d3-7f9d-4219-a293-478df14031ec,51072,27051.06,2,20.5,9,78540,275.46,120,128.238302,73.98631574,638,Good
7b47f942-68ac-426b-b857-ef66a851d4fc,135337,13139.83,2,17.2,11,404954,257.58,125,99.73356331,74.92603791,596,Good
eceb3414-18a6-43e1-bc2b-a8d24a400462,115824,17688.81,6,9.7,10,212190,279.4,123,134.7104379,74.49559327,652,Good
ea046bfe-794e-4f1b-8466-a63f300e67b4,97717,34942.9,2,9.1,11,150260,266.41,120,136.706888,74.92603791,638,Good
a7e00a1f-54cb-4556-bc84-b902740f0f53,175921,21300.33,2,11.7,6,211090,263.46,120,138.219576,71.69607095,633,Good
dc60cde9-f4d5-4deb-863b-eca066b65da8,9538,14995.37,1,19,8,306856,247.26,122,116.2363552,73.3748061,598,Good
abdaa9b6-3ef5-46ec-8c84-a0d51836b51d,408196,50342.97,1,20.8,5,511522,260.46,128,102.2386572,70.50611122,599,Good
35be8127-7198-4f77-9ec0-8ce70317e317,423757,50959.33,1,17.2,10,528154,262.39,158,119.2335633,74.49559327,645,Good
b6997035-705a-4db6-8e21-7114854a7273,380323,16322.9,1,16.8,11,537042,254.05,170,128.2328602,74.92603791,656,Good
f36ec195-019f-403e-b386-e95bd158513d,147288,19532.19,2,15.9,7,364408,270.37,149,128.2311465,72.62770071,654,Good
c20071b0-7256-46d8-9036-aa81cae5a98c,144343,32222.1,6,12.1,14,455400,282.59,133,133.2210324,75.89194809,662,Good
fd0dc833-1616-4961-9ff8-4ac0c8378cdb,188670,3283.01,1,9.1,9,697972,227.25,240,131.706888,73.98631574,686,Good
a3d405ff-c96d-4981-a3ab-0d5c8970f869,112138,27651.84,5,21.5,12,178596,289.3,154,132.7394469,75.29448983,684,Good
854542db-dea8-4a5a-ae64-62f184309eba,297312,20399.73,10,11,10,356004,283.81,135,136.7167657,74.49559327,667,Good
c8f54e03-a455-400f-9902-b9be0f9e3a08,2238580,50202.18,6,28.8,13,5062552,288.06,255,111.7453715,75.61335193,740,Good
5194cc78-557e-41ea-8f9f-1899959d25ef,150119,18287.5,5,18.5,4,205700,276.38,121,135.7356351,68.94427191,642,Good
a6dff7c7-9a56-4ec7-b605-e491c408b266,418456,9547.69,10,25.8,6,517110,274,150,136.7433471,71.69607095,665,Good
39af0ca1-6a19-469e-bff2-bb14e75d35ad,208468,35257.92,10,22.6,19,439714,291.97,164,124.7405877,76.88317825,688,Good
59244f39-bd66-4f99-b7fd-f56cd472fa57,1436172,46927.72,7,23.2,10,2542716,286.57,250,133.7411638,74.49559327,756,Good
1e4d298f-625e-4a2d-bf8a-da472a044a35,260908,15134.83,7,13.4,7,324830,281.66,141,137.7251521,72.62770071,668,Good
6b93b0c3-bd9e-4af4-981b-968d9d9354fd,549917,46316.49,10,22.4,14,917488,288.68,161,91.24038873,75.89194809,648,Good
ce28a8e8-7069-43fa-9520-d4d9006c4594,528789,59186.52,10,16,18,1101232,293.64,253,111.7313466,76.72502062,745,Good
a8973480-ede8-4c33-b847-0de7c5b464c8,221331,18570.03,5,20.9,5,300102,277.2,122,129.7387733,70.50611122,639,Good
eea5e13c-e6a2-45f0-9f16-fad4c0010ba0,252814,46135.61,1,25,20,557590,261.32,137,124.7427243,77.02679845,636,Good
03d2f5fb-d8c2-4710-b082-2d7b92d1fa0b,3591,24422.79,2,12.9,15,79992,269.17,120,114.2236681,76.13741602,620,Good
7e663682-5133-463d-a416-cbfa518bca09,211185,13616.16,6,17,12,259028,282.21,137,137.733216,75.29448983,668,Good
ef896f6d-4def-4375-abc0-abf2afa683e4,204003,49204.68,10,32.7,15,265100,292.06,121,104.7474429,76.13741602,634,Good
c9aee590-aa0d-4d43-a6a1-7b48f0f64869,338561,25654.18,8,21.6,15,427966,280.47,122,133.2395555,76.13741602,652,Good
8016df5b-c4b1-4733-9102-291499534876,263549,19123.69,10,20.8,22,978076,288.52,249,91.23865719,77.27775327,717,Good
e3efef9f-4adc-4acc-9079-fb5113610c47,203585,55750.18,1,15,14,277002,262.35,124,136.2292232,75.89194809,637,Good
4bbffcde-738b-4ecf-b15d-21523b4e6212,1552585,49973.42,9,25.7,14,2469434,291.35,253,134.2432714,75.89194809,765,Good
ca399bd8-eee1-491f-80f5-61b4b153e5eb,532399,24145.2,10,21.7,25,951324,287.86,232,130.739663,77.58378623,743,Good
c5cfb667-13f7-46c3-a0a2-304fa4d0e2aa,328776,18726.97,10,34.8,20,793078,288.64,234,122.2483644,77.02679845,737,Good
8c664159-775e-471a-8f09-c299ceb25d26,669522,23547.84,2,16.2,4,851906,265.35,180,122.2317393,68.94427191,664,Good
10e3d898-0b08-4c34-a271-fdeb25076a6e,1540729,38964.06,1,22.4,11,2623522,258.02,251,102.2403887,74.92603791,697,Good
b15cf58f-e3fa-4818-a060-a20f75ce76d7,1986336,44236.94,4,24.8,13,5088424,281.31,255,97.7425622,75.61335193,720,Good
b072557e-8318-4d3a-aa0d-390fda08111a,176529,21163.91,10,12.6,19,333454,284.26,129,130.2227199,76.88317825,658,Good
c3459415-220a-460c-b914-529abe5cacc7,149302,32824.97,7,20.5,14,372570,289.01,145,123.738302,75.89194809,669,Good
f77c1ade-f592-471b-8825-f5f78fdaa6b8,115273,7777.46,10,12.5,5,129602,254.32,120,137.2223934,70.50611122,622,Good
894eced7-6695-4ed1-89b8-188740f3264c,77387,6669,2,12.5,9,187044,248.58,121,137.2223934,73.98631574,621,Good
e42bb421-2cc9-4140-9cb7-c34ecdfe159c,4408,43616.78,3,39.8,12,464596,278.89,124,128.2501641,75.29448983,645,Good
8c8d3712-8d91-46c6-af55-9dbc248ee8e1,412775,26626.6,9,19.8,10,504152,282.16,126,132.2374308,74.49559327,653,Good
d7eb8068-b91c-4ce8-b1a9-cdf87ea19ef8,4104,9764.29,4,17.5,4,6644,286.45,120,133.7340692,68.94427191,649,Good
44873090-896e-488d-9134-2818f23a232f,112879,33594.09,10,16.9,19,265672,285.09,120,117.7330392,76.88317825,640,Good
542efcc1-3952-460d-8c3a-08ca901abad7,39140,2809.34,1,23.3,3,156288,241.15,143,91.24125691,66.83990379,577,Good
ae256015-d6bc-4881-9911-5d9b06fa680e,66918,23595.72,10,23.4,12,120318,292.12,122,132.2413492,75.29448983,661,Good
e3b0eee4-7625-417a-819f-460fedaf46de,19285,36863.61,7,19.4,6,465322,287.26,136,117.7369043,71.69607095,649,Good
c5230bf5-50ea-4fb2-81f3-d6727a6f21e1,206150,17371.32,6,15.8,14,904200,274.15,178,130.7309439,75.89194809,686,Good
3efcaf15-7695-45e2-8890-7958d675dfb3,1364295,93899.14,10,31.8,26,2109096,295.94,254,137.2470104,77.67107916,775,Good
a7a68190-f00d-4348-ac3a-8f7ca270f80e,15618,9382.58,2,9.4,4,93192,265.78,122,137.2087214,68.94427191,634,Good
d0bb965f-efe3-4018-8bf1-10a050f407cb,408785,47820.15,10,20.5,16,662002,289.73,143,109.738302,76.35530868,654,Good
b2b2c6ec-0c1d-4b39-8c49-1567382483f6,266779,25450.88,5,16.7,23,330022,280.33,124,127.7326791,77.38801456,648,Good
8100302c-7ff9-4dfa-a867-af340711569f,33535,13161.87,7,6.6,8,320848,274,136,97.6848392,73.3748061,617,Good
f958c398-65ce-4ac6-a79d-cccf81e54b20,227658,21078.41,3,13.9,27,329494,273.24,126,132.7265271,77.75229229,649,Good
dd8aeee5-a193-4d7e-8992-348594f6755f,152760,19412.87,5,26.8,24,329978,281.17,128,109.7440728,77.48970544,634,Good
6a907e9a-3ced-4f62-adec-6384a589b916,533672,50339.93,3,26.3,18,698258,279.11,136,137.2437169,76.72502062,666,Good
8400208d-2667-41eb-a41d-af4f1b7b0ead,46759,21049.91,7,9.5,11,378664,278.47,128,134.709306,74.92603791,654,Good
34c7a273-5780-4dbd-b50b-ce7fa1a9a2dc,181241,23626.5,10,20.8,13,455224,288.69,162,137.7386572,75.61335193,694,Good
5da1995e-0d5e-4d1a-8274-cc404f0e17b1,18145,21875.84,10,14.1,7,375122,283.92,129,136.2270493,72.62770071,660,Good
96a0d468-ffb6-4383-9694-644f29487e0f,337250,37616.96,9,16.9,16,687500,288.37,171,93.73303917,76.35530868,658,Good
1214aff2-9b38-4a92-b59b-cec6ae7e83a4,480396,31785.1,2,28.2,12,708620,269.2,139,117.7450014,75.29448983,637,Good
3d112524-2d14-40f5-9790-60edb1835644,441294,23474.5,5,15.4,12,590018,275.82,132,132.2301063,75.29448983,653,Good
65e40837-5e32-42c8-94e2-6704d6bcd060,110998,8610.42,9,15,18,214940,274.24,123,114.2292232,76.72502062,627,Good
466bf046-10d0-4613-9ecd-ea915ca77091,68134,9020.25,10,21,10,229328,279.47,127,95.23888826,74.49559327,614,Good
bd442ccb-94a9-41c2-a0e0-118f43729224,174629,5573.84,10,12.3,10,256256,250.63,121,123.7217242,74.49559327,610,Good
6e041c08-9427-4c86-a23d-a5a88ab210b5,129732,10684.27,8,27.6,7,300432,276.8,126,129.7446151,72.62770071,644,Good
e499c24a-2db3-49de-8c9c-6bb9bad1b45b,387866,15209.12,8,22,12,607728,288.33,245,137.7399798,75.29448983,758,Good
e254b75a-c5e4-4ae0-a8f7-ad5c457c096b,193610,4952.35,7,17.5,5,328196,268.65,161,137.2340692,70.50611122,668,Good
13db6892-d4fc-4d7e-a9af-4786b79052d0,580773,40925.81,10,14.2,14,1126444,285.69,186,137.7273047,75.89194809,710,Good
6919d574-a56c-4351-9b9e-3e32da043114,218101,20497.2,10,11.2,14,469414,280.06,132,137.7176054,75.89194809,663,Good
ceee8be2-9d80-4e9a-8648-f5023fc4e195,156446,12974.91,9,17.2,12,283030,269.35,121,137.7335633,75.29448983,642,Good
607be04d-43c5-4b10-b964-7406f1eb9a86,412775,29764.64,10,14.3,11,488708,290.3,203,104.7275565,74.92603791,694,Good
525104e9-7441-4f40-a13f-a53f8c7b3dfd,1424791,24293.21,1,21.5,11,1851586,255.95,250,97.73944688,74.92603791,690,Good
f94c3b53-9148-4ffb-9f2a-61c074ce90b0,518548,15107.47,10,23.4,8,628034,279.23,154,97.7413492,73.3748061,636,Good
6019769e-7c0e-464c-bfb5-ffb2846a0e2c,363641,61932.02,10,21.7,14,487344,290.46,124,128.239663,75.89194809,658,Good
b5ea1fc0-39ac-4eff-b294-518a1b71c6b5,392046,13582.91,10,15.8,14,600468,282.74,206,127.7309439,75.89194809,713,Good
0b54bff9-d225-452b-97d4-a7d6f44c08ac,292543,25243.4,1,15.8,8,497420,251.85,125,129.7309439,73.3748061,619,Good
264b0060-cd73-4a7f-b404-28d36e9e357e,72979,15732,10,21.5,10,151690,280.7,120,128.2394469,74.49559327,643,Good
7f948455-30cc-4548-810f-061acd98560a,528561,16359,10,27.6,13,1032042,282.66,228,124.7446151,75.61335193,727,Good
68f48b57-2a62-4da7-8e4f-b53aae8c1a4d,265354,43383.84,5,25.7,10,618200,283.37,130,132.2432714,74.49559327,658,Good
87b3e2c2-0b00-4ae1-8c97-71d39fd5a107,312436,19925.3,8,11.3,15,709346,286.83,248,135.7180139,76.13741602,758,Good
cbad14ec-b061-4bc5-8703-4b5d5dbc9b88,290757,17881.28,2,14.5,7,485100,268.83,178,137.2280495,72.62770071,684,Good
fccc4dd6-32e9-4208-badc-c20a5004f9fb,260851,6899.66,7,21.8,5,466092,256.14,127,131.2397696,70.50611122,623,Good
e38cb4f7-1e7f-48bb-b98b-d1d7346afe31,189810,12808.85,10,16.1,18,416262,280.52,147,136.2315442,76.72502062,674,Good
8657fb23-293a-452b-af05-c99eef7d57e0,791673,23983.13,6,15,12,956846,278.35,183,119.2292232,75.29448983,682,Good
48cc1783-0378-4a90-9776-b4538e34071e,200108,14976.56,5,6.5,11,511478,275.91,221,102.1835885,74.92603791,692,Good
55f86abf-837e-493b-9bdf-790f43fb223c,375155,9891.59,5,23,14,503932,277.8,209,117.7409752,75.89194809,700,Good
fb8e7b8a-1e2e-4175-94c8-088ef1a8735b,80161,31103,10,12.6,9,155980,286.93,120,131.2227199,73.98631574,652,Good
91bc98cf-6f8d-442f-ae2f-280382246149,38931,14999.17,6,13,14,148258,283.9,125,117.7239743,75.89194809,642,Good
bf5656b5-02d9-4e8b-8c36-51c8139df7bd,105184,16404.03,1,19,8,148346,258.21,122,135.7363552,73.3748061,628,Good
b74b9431-60e5-458f-9173-a2a6659a5ce2,44061,18920.58,7,19.2,18,111386,283.39,120,122.2366327,76.72502062,642,Good
66d0d1b4-3d6f-4a8c-8cb8-e537fb8487cc,163362,30017.91,10,22.4,7,304084,283.86,121,134.2403887,72.62770071,651,Good
ba68a268-8b71-4107-950a-8c5f17a76950,64676,18706.64,1,16.2,9,135432,260.49,124,136.7317393,73.98631574,634,Good
109c2577-8de0-4e8d-ab9f-85799e67bda8,784206,6533.72,10,14.2,6,1452858,276.05,254,137.2273047,71.69607095,749,Good
fa88b3af-bd73-4b4b-a5aa-46b26e33ccb5,79249,19681.72,10,43.7,9,259930,281.8,121,120.7512801,73.98631574,637,Good
27cf0603-9f07-4ab5-8d9b-45bebce92589,146737,14539.18,10,14.1,16,302302,280.26,126,138.2270493,76.35530868,660,Good
2fa0386d-27b4-4681-8bfe-6364045d8b61,404548,25924.93,6,16.7,13,534138,281.28,137,109.7326791,75.61335193,640,Good
567c8737-56d2-4aa8-b6a2-c55182f28518,111283,13264.85,8,28,10,162910,290.9,154,93.74487453,74.49559327,646,Good
6dbc35d8-e6f4-44d8-b85e-411fc6af7c78,616018,18814.56,2,16.5,10,870914,268.69,232,122.2323101,74.49559327,712,Good
6b99cf0d-8dae-4840-a8f0-6117361b8208,230261,16309.6,10,19.1,12,378180,281.42,129,97.73649469,75.29448983,621,Good
b2f7feda-ceb4-4c81-a9b4-61363a2b48c8,146414,23713.33,4,13.5,12,252296,281.99,137,119.2254355,75.29448983,650,Good
e6cc4db4-5ff2-427d-a7f1-ca9b52b56137,171950,27902.83,10,15,19,368016,283.49,123,117.7292232,76.88317825,640,Good
8bb5117a-ade6-4d9b-9472-93803c12b8ae,75506,11231.66,10,15.6,7,241538,277.41,123,104.7305306,72.62770071,617,Good
8263064f-d925-497b-94bf-888185030e7a,27759,25583.31,10,17.8,12,82412,284.48,120,109.7345577,75.29448983,630,Good
c5c2c535-3bfb-46cb-8bab-eb0663d4c82b,198569,15588.74,10,21.4,17,542300,288.5,229,104.7393373,76.55000885,714,Good
65ac4ffc-49d6-4349-8a22-f7e6952f50f6,299459,28166.74,4,21.4,10,447986,285.51,216,133.7393373,74.49559327,728,Good
dbf1d5da-0c6f-4e5d-ab47-a20fd21871e8,621509,22818.24,9,27.4,15,741136,289.33,230,134.7444825,76.13741602,745,Good
5ec37a24-a5b8-47a4-934c-c77b9ebbe09b,207537,11155.85,10,9,11,468424,280.27,208,135.7062488,74.92603791,719,Good
40d3bd37-a03e-4a74-b6e8-dc3ba82948ae,191178,17473.92,2,13.3,13,474034,270.34,207,137.2248644,75.61335193,711,Good
1ad6a0cf-e437-489e-a503-77f684c1d8b3,37791,26499.3,1,19.2,10,69454,254.43,120,137.7366327,74.49559327,627,Good
9cd82ca8-e54a-4876-944c-3c12204e7f49,77368,20272.43,6,13.5,20,319946,284.72,156,137.2254355,77.02679845,687,Good
c05dbba9-307e-45cd-9212-7c46bfcd5cf9,657894,18215.68,9,20.9,6,778910,284.77,217,104.7387733,71.69607095,697,Good
a97656e7-8830-4d4a-9cb4-0767988a5a66,263891,12667.68,3,12.8,13,411268,268.6,145,92.22335708,75.61335193,616,Good
